Date,Time,Production,SceneName,SoldTickets,TotalAmount
"10/05/2020 ",21:15:55,Зорба,Голяма сцена,10,150.0000
"10/05/2020 ",23:12:20,Зорба,Голяма сцена,0,0.0000
"10/05/2020 ",23:12:20,Зорба,Голяма сцена,0,0.0000
"10/05/2020 ",23:12:20,Зорба,Голяма сцена,0,0.0000
"10/05/2020 ",23:12:20,Зорба,Голяма сцена,0,0.0000
"14/05/2020 ",13:06:44,Зорба,Голяма сцена,0,0.0000
"01/05/2020 ",23:45:46,Зорба,Голяма сцена,0,0.0000
"01/05/2020 ",23:45:46,Зорба,Голяма сцена,0,0.0000
"01/05/2020 ",19:45:46,Зорба,Сцена 19,0,0.0000
"01/05/2020 ",15:47:56,test,Сцена 19,0,0.0000
